Categoría: Todas las categorías

Mes,caviares: (Perú),caviar: (Perú)
2004-01,0,0
2004-02,0,0
2004-03,0,32
2004-04,0,0
2004-05,0,21
2004-06,42,0
2004-07,0,0
2004-08,0,16
2004-09,0,0
2004-10,0,35
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,32
2005-03,0,29
2005-04,0,23
2005-05,0,17
2005-06,0,0
2005-07,0,0
2005-08,0,23
2005-09,0,8
2005-10,0,0
2005-11,0,14
2005-12,0,0
2006-01,0,9
2006-02,0,24
2006-03,0,0
2006-04,0,0
2006-05,0,0
2006-06,0,0
2006-07,0,19
2006-08,0,9
2006-09,0,0
2006-10,0,13
2006-11,10,19
2006-12,0,20
2007-01,7,0
2007-02,0,0
2007-03,0,14
2007-04,0,11
2007-05,5,0
2007-06,6,7
2007-07,0,12
2007-08,0,15
2007-09,0,17
2007-10,13,14
2007-11,0,6
2007-12,9,28
2008-01,0,14
2008-02,0,19
2008-03,0,19
2008-04,0,10
2008-05,0,4
2008-06,0,12
2008-07,0,15
2008-08,9,13
2008-09,0,15
2008-10,4,10
2008-11,0,15
2008-12,0,12
2009-01,0,9
2009-02,0,0
2009-03,23,9
2009-04,0,12
2009-05,0,14
2009-06,0,12
2009-07,0,10
2009-08,0,15
2009-09,0,12
2009-10,5,12
2009-11,9,4
2009-12,0,9
2010-01,0,18
2010-02,6,15
2010-03,0,13
2010-04,0,9
2010-05,0,7
2010-06,0,21
2010-07,0,17
2010-08,5,12
2010-09,0,19
2010-10,0,14
2010-11,0,0
2010-12,0,4
2011-01,3,17
2011-02,0,11
2011-03,0,6
2011-04,8,9
2011-05,2,18
2011-06,2,19
2011-07,0,15
2011-08,0,15
2011-09,0,20
2011-10,0,11
2011-11,0,16
2011-12,0,16
2012-01,2,18
2012-02,0,12
2012-03,0,5
2012-04,4,18
2012-05,2,14
2012-06,2,12
2012-07,3,26
2012-08,0,22
2012-09,4,21
2012-10,3,15
2012-11,3,20
2012-12,0,11
2013-01,0,13
2013-02,0,19
2013-03,2,17
2013-04,0,28
2013-05,0,18
2013-06,0,19
2013-07,0,20
2013-08,0,19
2013-09,1,17
2013-10,0,9
2013-11,2,20
2013-12,2,22
2014-01,2,17
2014-02,2,21
2014-03,3,22
2014-04,2,17
2014-05,0,16
2014-06,2,21
2014-07,0,16
2014-08,0,16
2014-09,1,21
2014-10,2,17
2014-11,1,14
2014-12,2,18
2015-01,2,14
2015-02,3,17
2015-03,0,17
2015-04,0,17
2015-05,3,17
2015-06,0,14
2015-07,1,21
2015-08,1,19
2015-09,0,18
2015-10,1,18
2015-11,2,29
2015-12,2,14
2016-01,0,15
2016-02,2,20
2016-03,3,23
2016-04,2,20
2016-05,2,14
2016-06,4,19
2016-07,2,20
2016-08,1,15
2016-09,0,23
2016-10,2,17
2016-11,2,17
2016-12,5,32
2017-01,2,37
2017-02,3,19
2017-03,5,24
2017-04,3,42
2017-05,4,34
2017-06,1,33
2017-07,4,28
2017-08,2,34
2017-09,8,33
2017-10,2,23
2017-11,1,28
2017-12,9,47
2018-01,8,36
2018-02,0,22
2018-03,6,24
2018-04,2,22
2018-05,0,20
2018-06,0,20
2018-07,7,41
2018-08,7,39
2018-09,3,22
2018-10,12,35
2018-11,4,34
2018-12,3,27
2019-01,7,37
2019-02,0,30
2019-03,3,39
2019-04,4,34
2019-05,2,32
2019-06,0,28
2019-07,4,24
2019-08,3,28
2019-09,4,26
2019-10,5,38
2019-11,3,22
2019-12,2,29
2020-01,6,32
2020-02,3,26
2020-03,2,23
2020-04,2,25
2020-05,0,24
2020-06,2,21
2020-07,3,23
2020-08,1,21
2020-09,2,20
2020-10,1,21
2020-11,8,46
2020-12,4,39
2021-01,5,30
2021-02,9,62
2021-03,5,46
2021-04,8,59
2021-05,3,49
2021-06,16,100
2021-07,14,66
2021-08,10,49
2021-09,4,28
2021-10,11,44
2021-11,6,33
2021-12,6,38
2022-01,4,33
2022-02,8,43
2022-03,3,29
2022-04,5,39
2022-05,4,35
2022-06,3,36
2022-07,2,42
2022-08,6,46
2022-09,2,37
2022-10,3,35
2022-11,2,29
2022-12,7,45
2023-01,19,95
2023-02,8,61
2023-03,2,47
2023-04,6,61
2023-05,6,76
2023-06,4,43
2023-07,4,35
2023-08,2,31
2023-09,4,30
2023-10,3,31
2023-11,5,29
